category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,frequency,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originalDataset,bbox,DIPACategory,nationality,width,height
notebook,"[0, 0, 0, 0, 1, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",30,Female,1,CrowdWorks,2,6,4,8,9,131138.jpg,LVIS,"[[135, 429, 156, 50]]",Printed Material,Japan,640.0,480.0
pen,"[1, 0, 1, 0, 0, 0]",0,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",30,Female,1,CrowdWorks,2,6,4,8,9,131138.jpg,LVIS,"[[149, 318, 12, 20], [499, 304, 50, 9], [123, 330, 8, 14], [141, 333, 24, 46], [131, 328, 31, 54], [126, 325, 28, 61], [138, 320, 6, 19], [226, 463, 77, 16]]",Others,Japan,640.0,480.0
radiator,"[0, 1, 0, 0, 0, 0]",4,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",30,Female,1,CrowdWorks,2,6,4,8,9,131138.jpg,LVIS,"[[419, 198, 143, 65]]",Others,Japan,640.0,480.0
desk,"[0, 1, 1, 1, 1, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",30,Female,1,CrowdWorks,2,6,4,8,9,131138.jpg,LVIS,"[[86, 242, 552, 237]]",Table,Japan,640.0,480.0
spoon,"[1, 1, 0, 0, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",30,Female,1,CrowdWorks,2,6,4,8,9,131138.jpg,LVIS,"[[131, 382, 40, 28]]",Others,Japan,640.0,480.0
glass_(drink_container),"[1, 1, 0, 1, 1, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",30,Female,1,CrowdWorks,2,6,4,8,9,131138.jpg,LVIS,"[[177, 337, 42, 51], [224, 374, 41, 59]]",Others,Japan,640.0,480.0
lamp,"[1, 1, 0, 0, 1, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",30,Female,1,CrowdWorks,2,6,4,8,9,131138.jpg,LVIS,"[[0, 144, 135, 59]]",Others,Japan,640.0,480.0
cup,"[1, 1, 0, 1, 1, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",30,Female,1,CrowdWorks,2,6,4,8,9,131138.jpg,LVIS,"[[223, 374, 42, 58], [177, 337, 42, 54]]",Others,Japan,640.0,480.0
laptop_computer,"[1, 0, 0, 1, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",53,Female,3,CrowdWorks,4,6,6,9,9,131138.jpg,LVIS,"[[314, 142, 134, 117]]",Screen,Japan,640.0,480.0
notebook,"[0, 0, 0, 0, 1, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",53,Female,3,CrowdWorks,4,6,6,9,9,131138.jpg,LVIS,"[[135, 429, 156, 50]]",Printed Material,Japan,640.0,480.0
desk,"[0, 0, 0, 1, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",53,Female,3,CrowdWorks,4,6,6,9,9,131138.jpg,LVIS,"[[86, 242, 552, 237]]",Table,Japan,640.0,480.0
laptop_computer,"[1, 0, 0, 0, 1, 0]",3,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",49,Male,1,Prolific,6,7,6,5,9,131138.jpg,LVIS,"[[314, 142, 134, 117]]",Screen,UK,640.0,480.0
notebook,"[0, 0, 0, 0, 1, 0]",3,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",49,Male,1,Prolific,6,7,6,5,9,131138.jpg,LVIS,"[[135, 429, 156, 50]]",Printed Material,UK,640.0,480.0
laptop_computer,"[0, 0, 0, 1, 1, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",64,Male,0,Prolific,4,4,7,3,4,131138.jpg,LVIS,"[[314, 142, 134, 117]]",Screen,UK,640.0,480.0
notebook,"[0, 0, 0, 1, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",64,Male,0,Prolific,4,4,7,3,4,131138.jpg,LVIS,"[[135, 429, 156, 50]]",Printed Material,UK,640.0,480.0
pen,"[1, 0, 0, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",64,Male,0,Prolific,4,4,7,3,4,131138.jpg,LVIS,"[[149, 318, 12, 20], [499, 304, 50, 9], [123, 330, 8, 14], [141, 333, 24, 46], [131, 328, 31, 54], [126, 325, 28, 61], [138, 320, 6, 19], [226, 463, 77, 16]]",Others,UK,640.0,480.0
desk,"[1, 1, 0, 1, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",64,Male,0,Prolific,4,4,7,3,4,131138.jpg,LVIS,"[[86, 242, 552, 237]]",Table,UK,640.0,480.0
cup,"[0, 1, 0, 0, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",64,Male,0,Prolific,4,4,7,3,4,131138.jpg,LVIS,"[[223, 374, 42, 58], [177, 337, 42, 54]]",Others,UK,640.0,480.0
Object 0,"[1, 0, 0, 0, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",31,Female,3,CrowdWorks,6,8,5,9,9,118544.jpg,LVIS,"[[71, 12, 55, 79]]",Others,Japan,320.0,240.0
monitor_(computer_equipment) computer_monitor,"[0, 1, 0, 1, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",31,Female,3,CrowdWorks,6,8,5,9,9,118544.jpg,LVIS,"[[99, 14, 71, 59], [169, 14, 102, 93]]",Screen,Japan,320.0,240.0
Object 0,"[1, 0, 0, 0, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",33,Female,2,Prolific,7,9,9,6,6,118544.jpg,LVIS,"[[71, 12, 55, 79]]",Others,UK,320.0,240.0
monitor_(computer_equipment) computer_monitor,"[1, 0, 0, 0, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",33,Female,2,Prolific,7,9,9,6,6,118544.jpg,LVIS,"[[99, 14, 71, 59], [169, 14, 102, 93]]",Screen,UK,320.0,240.0
Object 0,"[0, 1, 1, 0, 1, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",62,Female,0,Prolific,4,6,10,5,8,118544.jpg,LVIS,"[[71, 12, 55, 79]]",Others,UK,320.0,240.0
monitor_(computer_equipment) computer_monitor,"[1, 1, 1, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",62,Female,0,Prolific,4,6,10,5,8,118544.jpg,LVIS,"[[99, 14, 71, 59], [169, 14, 102, 93]]",Screen,UK,320.0,240.0
dress,"[0, 0, 0, 0, 0, 1]",1,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",55,Male,3,Prolific,2,3,9,8,5,172617.jpg,LVIS,"[[115, 0, 223, 244]]",Clothing,UK,375.0,500.0
Human body,"[1, 0, 0, 0, 0, 0]",2,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",42,Female,2,CrowdWorks,6,8,9,9,10,0a3873442ad329c2.jpg,OpenImages,"[[205, 126, 391, 528]]",Person,Japan,1024.0,683.0
Man,"[1, 0, 0, 0, 0, 0]",1,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",42,Female,2,CrowdWorks,6,8,9,9,10,0a3873442ad329c2.jpg,OpenImages,"[[208, 129, 395, 528]]",Person,Japan,1024.0,683.0
Human body,"[1, 0, 0, 1, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",29,Female,1,CrowdWorks,5,4,7,8,7,0a3873442ad329c2.jpg,OpenImages,"[[205, 126, 391, 528]]",Person,Japan,1024.0,683.0
Man,"[1, 0, 0, 1, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",29,Female,1,CrowdWorks,5,4,7,8,7,0a3873442ad329c2.jpg,OpenImages,"[[208, 129, 395, 528]]",Person,Japan,1024.0,683.0
Human body,"[1, 0, 0, 0, 0, 0]",4,"[0, 1, 1, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 0, 0]",39,Male,1,Prolific,2,4,3,10,7,0a3873442ad329c2.jpg,OpenImages,"[[205, 126, 391, 528]]",Person,UK,1024.0,683.0
Man,"[1, 0, 0, 0, 0, 0]",5,"[0, 1, 1, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 0, 0]",39,Male,1,Prolific,2,4,3,10,7,0a3873442ad329c2.jpg,OpenImages,"[[208, 129, 395, 528]]",Person,UK,1024.0,683.0
Human body,"[0, 0, 0, 1, 0, 0]",3,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",30,Male,1,Prolific,5,8,6,7,7,0a3873442ad329c2.jpg,OpenImages,"[[205, 126, 391, 528]]",Person,UK,1024.0,683.0
Book,"[0, 0, 0, 1, 0, 0]",2,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",30,Male,1,Prolific,5,8,6,7,7,0a3873442ad329c2.jpg,OpenImages,"[[460, 264, 563, 418]]",Book,UK,1024.0,683.0
Man,"[0, 1, 1, 0, 0, 0]",3,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",30,Male,1,Prolific,5,8,6,7,7,0a3873442ad329c2.jpg,OpenImages,"[[208, 129, 395, 528]]",Person,UK,1024.0,683.0
Object 0,"[0, 1, 1, 0, 0, 0]",3,"[0, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",30,Male,1,Prolific,5,8,6,7,7,0a3873442ad329c2.jpg,OpenImages,"[[663, 25, 130, 284]]",Others,UK,1024.0,683.0
Object 0,"[1, 0, 0, 0, 0, 0]",4,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0]",38,Male,2,CrowdWorks,3,5,4,9,4,213829.jpg,LVIS,"[[121, 113, 292, 92]]",Others,Japan,640.0,427.0
Object 0,"[1, 1, 0, 0, 0, 0]",4,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",35,Female,1,CrowdWorks,6,6,6,7,6,213829.jpg,LVIS,"[[121, 113, 292, 92]]",Others,Japan,640.0,427.0
Object 0,"[0, 1, 1, 1, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",57,Female,0,Prolific,4,6,6,6,6,213829.jpg,LVIS,"[[121, 113, 292, 92]]",Others,UK,640.0,427.0
Object 0,"[1, 1, 1, 1, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",46,Female,0,CrowdWorks,9,5,5,6,10,109992.jpg,LVIS,"[[7, 110, 173, 120]]",Others,Japan,640.0,426.0
Object 0,"[0, 1, 0, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",31,Male,1,CrowdWorks,4,6,6,9,9,109992.jpg,LVIS,"[[7, 110, 173, 120]]",Others,Japan,640.0,426.0
snowboard,"[0, 0, 0, 1, 0, 0]",4,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",31,Male,1,CrowdWorks,4,6,6,9,9,109992.jpg,LVIS,"[[3, 310, 96, 11]]",Others,Japan,640.0,426.0
vase,"[0, 0, 0, 1, 0, 0]",1,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",50,Male,0,CrowdWorks,6,5,7,7,8,21465.jpg,LVIS,"[[199, 8, 41, 112]]",Others,Japan,500.0,281.0
Person,"[1, 0, 0, 0, 0, 0]",4,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",50,Male,3,CrowdWorks,4,6,6,8,6,05035aff6e43506a.jpg,OpenImages,"[[0, 0, 252, 351], [223, 0, 527, 536]]",Others,Japan,1024.0,686.0
Person,"[0, 1, 0, 1, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",52,Female,1,Prolific,4,7,9,6,6,05035aff6e43506a.jpg,OpenImages,"[[0, 0, 252, 351], [223, 0, 527, 536]]",Others,UK,1024.0,686.0
Mammal,"[0, 0, 0, 0, 1, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",52,Female,1,Prolific,4,7,9,6,6,05035aff6e43506a.jpg,OpenImages,"[[0, 0, 254, 351], [219, 0, 532, 536]]",Others,UK,1024.0,686.0
Person,"[1, 0, 1, 0, 0, 0]",2,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",36,Male,1,Prolific,5,6,4,7,9,05035aff6e43506a.jpg,OpenImages,"[[0, 0, 252, 351], [223, 0, 527, 536]]",Others,UK,1024.0,686.0
Clothing,"[0, 1, 0, 0, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",36,Male,1,Prolific,5,6,4,7,9,05035aff6e43506a.jpg,OpenImages,"[[0, 0, 243, 334], [310, 46, 438, 414]]",Clothing,UK,1024.0,686.0
Chair,"[0, 0, 0, 0, 1, 0]",2,"[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",26,Male,1,Prolific,6,6,7,6,8,0a7c597abf1e90d4.jpg,OpenImages,"[[0, 342, 364, 423], [387, 347, 403, 419]]",Finger,UK,1024.0,768.0
Person,"[1, 1, 1, 1, 1, 0]",6,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0]",31,Female,1,CrowdWorks,3,4,6,10,10,731173d27e06b210.jpg,OpenImages,"[[267, 155, 298, 718]]",Others,Japan,682.0,1024.0
Person,"[0, 1, 0, 0, 1, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",48,Female,1,CrowdWorks,2,7,4,6,7,731173d27e06b210.jpg,OpenImages,"[[267, 155, 298, 718]]",Others,Japan,682.0,1024.0
Person,"[1, 0, 0, 0, 0, 0]",6,"[0, 1, 1, 1, 1, 1, 0]","[0, 1, 1, 1, 1, 1, 0]",29,Male,4,Prolific,3,6,7,8,8,731173d27e06b210.jpg,OpenImages,"[[267, 155, 298, 718]]",Others,UK,682.0,1024.0
dog_collar,"[1, 0, 0, 0, 0, 0]",5,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",43,Male,0,CrowdWorks,8,6,7,7,6,120882.jpg,LVIS,"[[214, 180, 77, 79]]",Others,Japan,640.0,427.0
dog,"[0, 0, 0, 1, 0, 0]",4,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",53,Male,1,CrowdWorks,6,7,6,7,7,120882.jpg,LVIS,"[[170, 58, 293, 336]]",Pet,Japan,640.0,427.0
dog_collar,"[0, 1, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",19,Male,1,Prolific,7,5,6,7,6,120882.jpg,LVIS,"[[214, 180, 77, 79]]",Others,UK,640.0,427.0
dog_collar,"[1, 0, 0, 0, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",65,Male,0,Prolific,6,3,8,9,9,120882.jpg,LVIS,"[[214, 180, 77, 79]]",Others,UK,640.0,427.0
necklace,"[1, 0, 0, 0, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",35,Female,1,Prolific,2,8,8,7,9,111325.jpg,LVIS,"[[75, 190, 30, 31]]",Accessory,UK,500.0,305.0
Object 0,"[1, 0, 0, 0, 0, 0]",5,"[0, 1, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",35,Female,3,CrowdWorks,5,6,5,8,3,168943.jpg,LVIS,"[[297, 56, 88, 89]]",Others,Japan,640.0,549.0
Object 1,"[1, 0, 0, 1, 0, 0]",5,"[0, 1, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",35,Female,3,CrowdWorks,5,6,5,8,3,168943.jpg,LVIS,"[[291, 52, 170, 155]]",Others,Japan,640.0,549.0
Object 0,"[1, 0, 0, 0, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",36,Female,1,CrowdWorks,3,4,8,9,4,168943.jpg,LVIS,"[[297, 56, 88, 89]]",Others,Japan,640.0,549.0
Object 1,"[1, 0, 0, 1, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",36,Female,1,CrowdWorks,3,4,8,9,4,168943.jpg,LVIS,"[[291, 52, 170, 155]]",Others,Japan,640.0,549.0
Object 0,"[0, 0, 1, 0, 0, 0]",1,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",45,Female,1,Prolific,6,8,8,6,6,168943.jpg,LVIS,"[[297, 56, 88, 89]]",Others,UK,640.0,549.0
can,"[0, 0, 0, 1, 0, 0]",1,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",33,Male,1,CrowdWorks,4,4,6,8,8,147448.jpg,LVIS,"[[190, 230, 18, 30]]",Others,Japan,640.0,429.0
ring,"[0, 0, 0, 1, 0, 0]",4,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",44,Female,0,CrowdWorks,5,9,8,6,10,147448.jpg,LVIS,"[[519, 225, 8, 14]]",Accessory,Japan,640.0,429.0
Object 0,"[1, 1, 0, 1, 0, 0]",5,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0]",38,Male,1,CrowdWorks,6,5,6,9,6,170048.jpg,LVIS,"[[326, 80, 86, 218]]",Others,Japan,500.0,335.0
Object 0,"[1, 0, 0, 0, 0, 0]",1,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",47,Female,1,CrowdWorks,6,5,9,6,8,170048.jpg,LVIS,"[[326, 80, 86, 218]]",Others,Japan,500.0,335.0
Human hair,"[1, 0, 0, 1, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",51,Male,2,CrowdWorks,2,6,6,8,9,4ad6955cadc6eafa.jpg,OpenImages,"[[256, 190, 246, 337]]",Person,Japan,681.0,1024.0
Girl,"[1, 0, 0, 1, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",51,Male,2,CrowdWorks,2,6,6,8,9,4ad6955cadc6eafa.jpg,OpenImages,"[[220, 188, 312, 799]]",Person,Japan,681.0,1024.0
Human body,"[1, 0, 0, 1, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",51,Male,2,CrowdWorks,2,6,6,8,9,4ad6955cadc6eafa.jpg,OpenImages,"[[218, 188, 311, 796]]",Person,Japan,681.0,1024.0
Human head,"[1, 0, 0, 0, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",51,Male,2,CrowdWorks,2,6,6,8,9,4ad6955cadc6eafa.jpg,OpenImages,"[[312, 185, 158, 165]]",Person,Japan,681.0,1024.0
Human eye,"[1, 0, 0, 0, 0, 0]",3,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",51,Male,2,CrowdWorks,2,6,6,8,9,4ad6955cadc6eafa.jpg,OpenImages,"[[333, 251, 15, 21], [371, 266, 28, 12]]",Person,Japan,681.0,1024.0
Woman,"[1, 0, 0, 1, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",51,Male,2,CrowdWorks,2,6,6,8,9,4ad6955cadc6eafa.jpg,OpenImages,"[[220, 187, 311, 800]]",Person,Japan,681.0,1024.0
Girl,"[1, 0, 0, 0, 0, 0]",0,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",29,Male,3,CrowdWorks,7,7,10,2,10,4ad6955cadc6eafa.jpg,OpenImages,"[[220, 188, 312, 799]]",Person,Japan,681.0,1024.0
Human body,"[0, 0, 1, 1, 0, 0]",1,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",29,Male,3,CrowdWorks,7,7,10,2,10,4ad6955cadc6eafa.jpg,OpenImages,"[[218, 188, 311, 796]]",Person,Japan,681.0,1024.0
Human hand,"[0, 0, 1, 0, 0, 0]",1,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",29,Male,3,CrowdWorks,7,7,10,2,10,4ad6955cadc6eafa.jpg,OpenImages,"[[311, 521, 84, 63], [400, 538, 70, 72]]",Person,Japan,681.0,1024.0
Human foot,"[0, 0, 1, 1, 0, 0]",2,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",29,Male,3,CrowdWorks,7,7,10,2,10,4ad6955cadc6eafa.jpg,OpenImages,"[[321, 904, 57, 43], [395, 903, 60, 45]]",Person,Japan,681.0,1024.0
Woman,"[1, 0, 0, 0, 0, 0]",0,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",29,Male,3,CrowdWorks,7,7,10,2,10,4ad6955cadc6eafa.jpg,OpenImages,"[[220, 187, 311, 800]]",Person,Japan,681.0,1024.0
Girl,"[1, 0, 0, 0, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",37,Male,1,Prolific,2,6,7,8,3,4ad6955cadc6eafa.jpg,OpenImages,"[[220, 188, 312, 799]]",Person,UK,681.0,1024.0
Human body,"[1, 0, 0, 0, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",37,Male,1,Prolific,2,6,7,8,3,4ad6955cadc6eafa.jpg,OpenImages,"[[218, 188, 311, 796]]",Person,UK,681.0,1024.0
Woman,"[1, 0, 0, 0, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",37,Male,1,Prolific,2,6,7,8,3,4ad6955cadc6eafa.jpg,OpenImages,"[[220, 187, 311, 800]]",Person,UK,681.0,1024.0
monitor_(computer_equipment) computer_monitor,"[0, 0, 0, 1, 0, 0]",1,"[0, 1, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",31,Male,1,CrowdWorks,4,4,4,5,7,148620.jpg,LVIS,"[[224, 60, 203, 167], [22, 140, 142, 99]]",Screen,Japan,500.0,375.0
laptop_computer,"[0, 0, 0, 1, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",32,Female,1,CrowdWorks,6,8,6,6,7,148620.jpg,LVIS,"[[22, 140, 169, 135]]",Screen,Japan,500.0,375.0
monitor_(computer_equipment) computer_monitor,"[0, 0, 0, 1, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",32,Female,1,CrowdWorks,6,8,6,6,7,148620.jpg,LVIS,"[[224, 60, 203, 167], [22, 140, 142, 99]]",Screen,Japan,500.0,375.0
desk,"[0, 0, 0, 1, 0, 0]",4,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",32,Female,1,CrowdWorks,6,8,6,6,7,148620.jpg,LVIS,"[[0, 192, 500, 182]]",Table,Japan,500.0,375.0
laptop_computer,"[1, 1, 1, 1, 1, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",28,Female,1,Prolific,7,9,7,4,10,148620.jpg,LVIS,"[[22, 140, 169, 135]]",Screen,UK,500.0,375.0
monitor_(computer_equipment) computer_monitor,"[1, 1, 1, 1, 1, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",28,Female,1,Prolific,7,9,7,4,10,148620.jpg,LVIS,"[[224, 60, 203, 167], [22, 140, 142, 99]]",Screen,UK,500.0,375.0
desk,"[1, 0, 1, 0, 1, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",28,Female,1,Prolific,7,9,7,4,10,148620.jpg,LVIS,"[[0, 192, 500, 182]]",Table,UK,500.0,375.0
laptop_computer,"[1, 0, 1, 0, 0, 1]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",60,Male,1,Prolific,2,4,9,3,4,148620.jpg,LVIS,"[[22, 140, 169, 135]]",Screen,UK,500.0,375.0
monitor_(computer_equipment) computer_monitor,"[0, 0, 1, 0, 0, 1]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",60,Male,1,Prolific,2,4,9,3,4,148620.jpg,LVIS,"[[224, 60, 203, 167], [22, 140, 142, 99]]",Screen,UK,500.0,375.0
desk,"[1, 0, 1, 1, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",60,Male,1,Prolific,2,4,9,3,4,148620.jpg,LVIS,"[[0, 192, 500, 182]]",Table,UK,500.0,375.0
Object 0,"[1, 0, 0, 0, 0, 0]",0,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",38,Female,3,CrowdWorks,4,5,7,8,9,156643.jpg,LVIS,"[[324, 116, 314, 127]]",Others,Japan,640.0,480.0
Object 0,"[1, 1, 1, 1, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",28,Male,0,Prolific,8,3,6,5,10,156643.jpg,LVIS,"[[324, 116, 314, 127]]",Others,UK,640.0,480.0
newspaper,"[1, 0, 0, 1, 1, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",37,Male,1,CrowdWorks,8,7,8,5,8,146481.jpg,LVIS,"[[68, 200, 303, 261]]",Printed Material,Japan,640.0,480.0
person,"[1, 0, 0, 1, 1, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",37,Male,1,CrowdWorks,8,7,8,5,8,146481.jpg,LVIS,"[[145, 174, 213, 294]]",Person,Japan,640.0,480.0
curtain,"[0, 1, 0, 0, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",47,Male,0,Prolific,3,6,8,10,8,146481.jpg,LVIS,"[[415, 2, 113, 232], [525, 0, 68, 134], [2, 17, 229, 237]]",Others,UK,640.0,480.0
